user_id,subscription_type,subscription_category,start_date,end_date,amount
153,Free,Monthly,2024-09-23,2024-10-23,0.0
154,Premium,Yearly,2025-07-12,2026-07-12,737.98
155,Family,Monthly,2024-08-31,2024-09-30,605.06
156,Free,Yearly,2025-03-06,2026-03-06,0.0
157,Premium,3 month,2025-03-22,2025-06-20,605.06
158,Premium,Monthly,2024-11-09,2024-12-09,858.26
159,Premium,3 month,2024-12-09,2025-03-09,605.06
160,Free,3 month,2024-09-07,2024-12-06,0.0
161,Free,Monthly,2024-12-19,2025-01-18,0.0
162,Family,3 month,2025-02-09,2025-05-10,260.67
163,Free,Monthly,2025-06-28,2025-07-28,0.0
164,Free,Monthly,2025-07-22,2025-08-21,0.0
165,Free,Monthly,2025-04-04,2025-05-04,0.0
166,Family,3 month,2024-11-03,2025-02-01,605.06
167,Premium,Monthly,2025-05-15,2025-06-14,984.73
168,Premium,Monthly,2024-08-09,2024-09-08,605.06
169,Premium,3 month,2025-04-25,2025-07-24,605.06
170,Premium,Yearly,2024-09-07,2025-09-07,226.95
171,Premium,3 month,2024-12-21,2025-03-21,605.06
172,Family,3 month,2024-09-18,2024-12-17,605.06
173,Premium,Monthly,2024-08-22,2024-09-21,863.83
174,Premium,Monthly,2025-03-03,2025-04-02,905.47
175,Premium,3 month,2024-09-15,2024-12-14,605.06
176,Premium,3 month,2025-01-12,2025-04-12,882.61
177,Premium,3 month,2025-05-29,2025-08-27,605.06
178,Free,Yearly,2025-03-11,2026-03-11,0.0
179,Premium,3 month,2025-05-14,2025-08-12,605.06
180,Premium,Monthly,2025-08-08,2025-09-07,605.06
181,Family,3 month,2025-03-21,2025-06-19,664.3
182,Premium,Monthly,2025-07-24,2025-08-23,605.06
183,Free,Yearly,2025-05-15,2026-05-15,0.0
184,Premium,Yearly,2025-04-01,2026-04-01,605.06
185,Premium,Monthly,2025-04-27,2025-05-27,605.06
186,Premium,3 month,2025-06-16,2025-09-14,605.06
187,Free,3 month,2024-11-01,2025-01-30,0.0
188,Premium,Monthly,2024-12-12,2025-01-11,605.06
189,Free,Monthly,2024-12-22,2025-01-21,0.0
190,Family,3 month,2025-07-19,2025-10-17,605.06
191,Premium,3 month,2025-06-14,2025-09-12,605.06
192,Premium,Monthly,2024-09-15,2024-10-15,989.56
193,Free,Monthly,2024-10-02,2024-11-01,0.0
194,Premium,3 month,2024-11-28,2025-02-26,429.3
195,Premium,Yearly,2024-10-20,2025-10-20,654.79
196,Premium,Monthly,2024-10-18,2024-11-17,990.09
197,Premium,3 month,2025-03-14,2025-06-12,605.06
198,Premium,3 month,2025-05-13,2025-08-11,605.06
199,Family,3 month,2024-10-14,2025-01-12,605.06
200,Free,3 month,2025-04-22,2025-07-21,0.0
201,Premium,Monthly,2025-04-25,2025-05-25,542.97
202,Free,Monthly,2025-03-14,2025-04-13,0.0
203,Premium,3 month,2024-10-13,2025-01-11,605.06
204,Premium,3 month,2024-08-19,2024-11-17,441.66
205,Free,Yearly,2024-08-25,2025-08-25,0.0
206,Free,Monthly,2024-11-05,2024-12-05,0.0
207,Premium,Monthly,2025-07-13,2025-08-12,676.73
208,Premium,3 month,2025-02-03,2025-05-04,605.06
209,Free,3 month,2024-12-12,2025-03-12,0.0
210,Family,3 month,2025-05-16,2025-08-14,982.8
211,Free,Yearly,2024-10-01,2025-10-01,0.0
212,Premium,3 month,2025-07-21,2025-10-19,605.06
213,Free,3 month,2025-06-26,2025-09-24,0.0
214,Free,3 month,2024-10-25,2025-01-23,0.0
215,Free,3 month,2024-10-22,2025-01-20,0.0
216,Family,Monthly,2025-03-08,2025-04-07,605.06
217,Premium,Monthly,2024-08-20,2024-09-19,605.06
218,Premium,Yearly,2024-11-03,2025-11-03,200.26
219,Family,Yearly,2024-12-22,2025-12-22,605.06
220,Premium,Yearly,2025-08-05,2026-08-05,605.06
221,Premium,3 month,2024-10-02,2024-12-31,605.06
222,Family,Monthly,2024-12-24,2025-01-23,863.87
223,Premium,Monthly,2025-06-27,2025-07-27,415.7
224,Free,Yearly,2024-10-17,2025-10-17,0.0
225,Family,Yearly,2025-02-16,2026-02-16,765.69
226,Free,Monthly,2024-12-10,2025-01-09,0.0
227,Free,Monthly,2025-02-05,2025-03-07,0.0
228,Premium,3 month,2024-09-11,2024-12-10,605.06
229,Premium,3 month,2024-11-06,2025-02-04,605.06
230,Premium,3 month,2025-06-10,2025-09-08,605.06
231,Premium,Yearly,2024-10-22,2025-10-22,605.06
232,Premium,Monthly,2025-06-13,2025-07-13,605.06
233,Free,Yearly,2024-09-09,2025-09-09,0.0
234,Free,Monthly,2025-03-24,2025-04-23,0.0
235,Premium,Yearly,2025-05-05,2026-05-05,605.06
236,Premium,Yearly,2024-11-25,2025-11-25,605.06
237,Family,Monthly,2024-09-20,2024-10-20,605.06
238,Premium,Monthly,2025-01-15,2025-02-14,646.9
239,Free,3 month,2025-04-29,2025-07-28,0.0
240,Free,Yearly,2024-12-13,2025-12-13,0.0
241,Premium,Monthly,2025-03-05,2025-04-04,605.06
242,Family,Yearly,2024-10-09,2025-10-09,340.99
243,Free,Monthly,2024-11-17,2024-12-17,0.0
244,Free,Monthly,2024-08-26,2024-09-25,0.0
245,Premium,Yearly,2024-11-23,2025-11-23,605.06
246,Free,Yearly,2024-11-06,2025-11-06,0.0
247,Premium,Monthly,2024-11-01,2024-12-01,605.06
248,Free,Monthly,2024-08-12,2024-09-11,0.0
249,Family,Yearly,2025-08-05,2026-08-05,605.06
250,Premium,Yearly,2025-01-09,2026-01-09,605.06
251,Free,3 month,2025-07-17,2025-10-15,0.0
252,Free,3 month,2025-06-14,2025-09-12,0.0
253,Family,Yearly,2025-06-21,2026-06-21,605.06
254,Free,Yearly,2024-09-09,2025-09-09,0.0
255,Premium,Monthly,2025-07-16,2025-08-15,412.51
256,Family,Yearly,2025-03-08,2026-03-08,605.06
257,Premium,3 month,2025-05-15,2025-08-13,605.06
258,Family,Yearly,2024-12-20,2025-12-20,605.06
259,Premium,Yearly,2025-04-09,2026-04-09,605.06
260,Premium,Yearly,2025-03-29,2026-03-29,606.73
261,Family,Yearly,2025-01-01,2026-01-01,201.68
262,Free,Monthly,2025-03-06,2025-04-05,0.0
263,Premium,Yearly,2024-11-28,2025-11-28,605.06
264,Premium,Yearly,2024-12-08,2025-12-08,339.53
265,Premium,Monthly,2025-01-22,2025-02-21,605.06
266,Premium,Monthly,2024-12-17,2025-01-16,605.06
267,Premium,Yearly,2025-02-22,2026-02-22,605.06
268,Premium,3 month,2024-08-29,2024-11-27,605.06
269,Premium,Monthly,2024-12-07,2025-01-06,605.06
270,Premium,Monthly,2025-04-24,2025-05-24,762.23
271,Premium,3 month,2025-06-09,2025-09-07,799.95
272,Family,Yearly,2024-10-11,2025-10-11,605.06
273,Premium,3 month,2025-03-31,2025-06-29,222.7
274,Family,Monthly,2024-09-16,2024-10-16,437.22
275,Free,Monthly,2024-11-01,2024-12-01,0.0
276,Premium,3 month,2025-06-22,2025-09-20,605.06
277,Premium,Yearly,2024-11-04,2025-11-04,605.06
278,Family,Yearly,2024-12-24,2025-12-24,605.06
279,Family,Yearly,2024-09-20,2025-09-20,605.06
280,Free,Yearly,2025-07-12,2026-07-12,0.0
281,Family,3 month,2024-12-01,2025-03-01,263.77
282,Premium,3 month,2024-11-24,2025-02-22,605.06
283,Free,Monthly,2025-02-02,2025-03-04,0.0
284,Family,Yearly,2024-08-29,2025-08-29,605.06
285,Family,Monthly,2025-04-23,2025-05-23,605.06
286,Premium,Yearly,2024-08-23,2025-08-23,605.06
287,Premium,Yearly,2025-06-12,2026-06-12,446.3
288,Premium,3 month,2025-05-27,2025-08-25,689.67
289,Family,Yearly,2025-01-07,2026-01-07,605.06
290,Free,Monthly,2025-06-13,2025-07-13,0.0
291,Premium,Yearly,2024-11-16,2025-11-16,863.65
292,Premium,Yearly,2025-07-25,2026-07-25,605.06
293,Family,Yearly,2024-10-20,2025-10-20,510.09
294,Premium,Monthly,2024-12-19,2025-01-18,935.15
295,Free,Monthly,2024-12-09,2025-01-08,0.0
296,Premium,Monthly,2024-12-03,2025-01-02,240.29
297,Free,3 month,2025-04-02,2025-07-01,0.0
298,Family,Yearly,2025-02-15,2026-02-15,605.06
299,Premium,3 month,2025-06-07,2025-09-05,605.06
300,Premium,Yearly,2025-06-22,2026-06-22,917.0
301,Free,Monthly,2025-04-13,2025-05-13,0.0
302,Free,Monthly,2024-11-12,2024-12-12,0.0
303,Premium,Monthly,2025-03-13,2025-04-12,605.06
304,Premium,Yearly,2025-04-18,2026-04-18,510.16
305,Premium,3 month,2024-10-01,2024-12-30,258.55
306,Family,3 month,2024-08-29,2024-11-27,605.06
307,Free,3 month,2025-01-04,2025-04-04,0.0
308,Family,Monthly,2025-01-27,2025-02-26,605.06
309,Premium,Yearly,2025-02-06,2026-02-06,605.06
310,Premium,Yearly,2025-03-02,2026-03-02,709.3
311,Premium,3 month,2025-07-04,2025-10-02,605.06
312,Free,Monthly,2024-08-26,2024-09-25,0.0
313,Free,Monthly,2025-05-16,2025-06-15,0.0
314,Free,Monthly,2025-05-29,2025-06-28,0.0
315,Premium,Monthly,2025-02-23,2025-03-25,605.06
316,Family,Monthly,2025-04-28,2025-05-28,605.06
317,Premium,Monthly,2024-10-10,2024-11-09,605.06
318,Premium,Monthly,2025-07-22,2025-08-21,605.06
319,Free,Monthly,2024-08-25,2024-09-24,0.0
320,Free,3 month,2025-07-06,2025-10-04,0.0
321,Family,Monthly,2025-07-30,2025-08-29,605.06
322,Premium,Monthly,2025-04-07,2025-05-07,605.06
323,Premium,Yearly,2025-04-11,2026-04-11,762.6
324,Family,Monthly,2025-05-25,2025-06-24,575.23
325,Premium,Yearly,2024-09-29,2025-09-29,894.02
326,Premium,Yearly,2025-05-07,2026-05-07,637.05
327,Free,3 month,2024-12-26,2025-03-26,0.0
328,Premium,Yearly,2025-03-14,2026-03-14,605.06
329,Family,3 month,2024-08-18,2024-11-16,605.06
330,Premium,Yearly,2025-06-16,2026-06-16,294.2
331,Premium,3 month,2024-11-17,2025-02-15,605.06
332,Family,Monthly,2024-09-13,2024-10-13,605.06
333,Family,3 month,2024-08-21,2024-11-19,605.06
334,Premium,Monthly,2024-09-02,2024-10-02,605.06
335,Family,3 month,2025-06-19,2025-09-17,960.79
336,Premium,3 month,2025-07-16,2025-10-14,605.06
337,Family,Monthly,2024-08-17,2024-09-16,605.06
338,Family,Monthly,2025-01-12,2025-02-11,328.03
339,Family,Monthly,2024-10-09,2024-11-08,605.06
340,Premium,3 month,2024-10-16,2025-01-14,780.21
341,Free,Monthly,2024-11-19,2024-12-19,0.0
342,Free,Yearly,2024-12-11,2025-12-11,0.0
343,Family,Yearly,2024-12-16,2025-12-16,301.02
344,Free,3 month,2025-01-20,2025-04-20,0.0
345,Free,3 month,2024-12-10,2025-03-10,0.0
346,Free,3 month,2025-05-15,2025-08-13,0.0
347,Free,Yearly,2025-04-09,2026-04-09,0.0
348,Premium,3 month,2025-03-30,2025-06-28,605.06
349,Free,Monthly,2024-12-31,2025-01-30,0.0
350,Premium,3 month,2025-04-03,2025-07-02,557.94
351,Family,Yearly,2024-11-18,2025-11-18,605.06
352,Free,3 month,2024-11-08,2025-02-06,0.0
353,Free,3 month,2025-03-05,2025-06-03,0.0
354,Premium,3 month,2025-04-02,2025-07-01,605.06
355,Premium,3 month,2025-02-24,2025-05-25,612.17
356,Free,3 month,2025-07-11,2025-10-09,0.0
357,Free,3 month,2024-09-16,2024-12-15,0.0
358,Premium,3 month,2025-05-19,2025-08-17,605.06
359,Family,3 month,2025-08-02,2025-10-31,605.06
360,Family,Monthly,2025-04-01,2025-05-01,285.5
361,Premium,Monthly,2025-08-02,2025-09-01,605.06
362,Family,Monthly,2024-09-06,2024-10-06,605.06
363,Family,3 month,2025-03-02,2025-05-31,308.15
364,Family,Yearly,2025-04-12,2026-04-12,669.53
365,Premium,Monthly,2025-01-25,2025-02-24,605.06
366,Premium,Monthly,2024-08-16,2024-09-15,605.06
367,Premium,Monthly,2024-12-17,2025-01-16,605.06
368,Free,Yearly,2025-03-29,2026-03-29,0.0
369,Premium,3 month,2025-06-13,2025-09-11,605.06
370,Premium,3 month,2024-10-09,2025-01-07,461.82
371,Premium,Yearly,2025-02-13,2026-02-13,605.06
372,Premium,3 month,2024-11-10,2025-02-08,605.06
373,Premium,Monthly,2025-04-13,2025-05-13,605.06
374,Premium,3 month,2024-12-17,2025-03-17,605.06
375,Premium,Yearly,2025-07-24,2026-07-24,605.06
376,Family,3 month,2025-01-14,2025-04-14,605.06
377,Premium,Monthly,2024-12-22,2025-01-21,605.06
378,Premium,Yearly,2025-03-26,2026-03-26,605.06
379,Premium,Monthly,2025-05-02,2025-06-01,505.95
380,Free,3 month,2025-08-05,2025-11-03,0.0
381,Premium,Yearly,2025-07-19,2026-07-19,605.06
382,Premium,Yearly,2025-01-14,2026-01-14,605.06
383,Premium,Yearly,2025-01-18,2026-01-18,578.41
384,Premium,3 month,2024-12-24,2025-03-24,817.41
385,Family,Monthly,2025-02-26,2025-03-28,605.06
386,Free,Yearly,2025-01-11,2026-01-11,0.0
387,Premium,Monthly,2025-04-16,2025-05-16,612.73
388,Family,Monthly,2025-05-19,2025-06-18,794.14
389,Premium,Yearly,2024-10-30,2025-10-30,311.37
390,Premium,Yearly,2025-06-29,2026-06-29,605.06
391,Premium,Monthly,2025-05-21,2025-06-20,605.06
392,Free,Monthly,2025-03-11,2025-04-10,0.0
393,Free,3 month,2024-10-18,2025-01-16,0.0
394,Premium,Yearly,2025-02-27,2026-02-27,270.18
395,Premium,3 month,2025-07-22,2025-10-20,605.06
396,Family,Monthly,2024-10-21,2024-11-20,605.06
397,Free,Monthly,2024-09-11,2024-10-11,0.0
398,Premium,Monthly,2025-08-05,2025-09-04,264.83
399,Premium,3 month,2024-09-12,2024-12-11,991.62
400,Family,3 month,2025-08-06,2025-11-04,605.06
401,Premium,Monthly,2025-03-08,2025-04-07,480.01
402,Family,Monthly,2025-02-28,2025-03-30,864.69
403,Premium,Yearly,2025-01-05,2026-01-05,605.06
404,Premium,3 month,2025-07-17,2025-10-15,605.06
405,Family,Monthly,2024-10-03,2024-11-02,605.06
406,Family,Yearly,2025-04-25,2026-04-25,605.06
407,Premium,Yearly,2024-12-05,2025-12-05,605.06
408,Premium,Monthly,2025-03-28,2025-04-27,605.06
409,Free,3 month,2025-03-18,2025-06-16,0.0
410,Premium,Yearly,2025-05-14,2026-05-14,605.06
411,Premium,3 month,2025-07-13,2025-10-11,605.06
412,Family,3 month,2025-07-11,2025-10-09,605.06
413,Free,Yearly,2025-03-19,2026-03-19,0.0
414,Premium,Monthly,2024-11-27,2024-12-27,605.06
415,Free,Monthly,2024-09-27,2024-10-27,0.0
416,Family,Yearly,2025-01-31,2026-01-31,605.06
417,Premium,3 month,2025-07-21,2025-10-19,605.06
418,Premium,3 month,2025-04-08,2025-07-07,542.58
419,Premium,Yearly,2024-12-11,2025-12-11,753.53
420,Family,Yearly,2025-02-16,2026-02-16,268.6
421,Family,Yearly,2025-03-23,2026-03-23,605.06
422,Premium,3 month,2025-05-29,2025-08-27,605.06
423,Family,3 month,2025-01-22,2025-04-22,605.06
424,Premium,Monthly,2025-02-15,2025-03-17,605.06
425,Free,3 month,2025-02-26,2025-05-27,0.0
426,Premium,Monthly,2025-02-10,2025-03-12,605.06
427,Free,Yearly,2025-03-06,2026-03-06,0.0
428,Family,Monthly,2025-02-09,2025-03-11,605.06
429,Premium,Yearly,2024-11-20,2025-11-20,616.05
430,Free,Yearly,2024-12-20,2025-12-20,0.0
431,Premium,3 month,2025-01-19,2025-04-19,605.06
432,Family,Monthly,2025-07-24,2025-08-23,605.06
433,Free,Yearly,2024-08-09,2025-08-09,0.0
434,Free,Yearly,2025-03-29,2026-03-29,0.0
435,Premium,3 month,2025-01-23,2025-04-23,396.79
436,Family,3 month,2024-10-20,2025-01-18,605.06
437,Family,Yearly,2025-06-27,2026-06-27,605.06
438,Premium,3 month,2025-04-21,2025-07-20,605.06
439,Free,3 month,2024-10-07,2025-01-05,0.0
440,Premium,Monthly,2025-02-02,2025-03-04,605.06
441,Family,3 month,2025-05-19,2025-08-17,605.06
442,Premium,Yearly,2024-09-05,2025-09-05,605.06
443,Free,3 month,2025-05-07,2025-08-05,0.0
444,Premium,Yearly,2025-03-16,2026-03-16,605.06
445,Premium,3 month,2024-12-13,2025-03-13,605.06
446,Premium,Yearly,2024-10-05,2025-10-05,825.68
447,Premium,Monthly,2025-05-22,2025-06-21,605.06
448,Free,Monthly,2025-04-26,2025-05-26,0.0
449,Family,3 month,2024-11-02,2025-01-31,809.23
450,Free,Monthly,2024-10-30,2024-11-29,0.0
451,Family,Monthly,2024-11-20,2024-12-20,768.18
452,Family,3 month,2025-04-10,2025-07-09,418.56
453,Family,3 month,2024-10-15,2025-01-13,605.06
454,Family,Yearly,2025-06-23,2026-06-23,605.06
455,Premium,3 month,2025-07-09,2025-10-07,432.74
456,Premium,Monthly,2024-08-10,2024-09-09,605.06
457,Premium,3 month,2025-06-10,2025-09-08,839.46
458,Premium,3 month,2025-05-01,2025-07-30,566.79
459,Premium,Yearly,2025-01-28,2026-01-28,727.31
460,Family,3 month,2025-07-18,2025-10-16,740.43
461,Free,Monthly,2025-01-20,2025-02-19,0.0
462,Free,3 month,2025-05-09,2025-08-07,0.0
463,Premium,Yearly,2025-06-07,2026-06-07,605.06
464,Premium,3 month,2024-10-09,2025-01-07,208.94
465,Premium,Monthly,2024-12-08,2025-01-07,605.06
466,Premium,3 month,2025-05-07,2025-08-05,605.06
467,Family,Monthly,2024-08-28,2024-09-27,458.92
468,Family,Monthly,2024-10-02,2024-11-01,605.06
469,Premium,Yearly,2025-05-09,2026-05-09,605.06
470,Premium,3 month,2025-03-08,2025-06-06,605.06
471,Free,3 month,2025-04-14,2025-07-13,0.0
472,Premium,Monthly,2025-03-10,2025-04-09,605.06
473,Premium,Yearly,2024-10-14,2025-10-14,605.06
474,Premium,3 month,2024-09-30,2024-12-29,605.06
475,Family,3 month,2025-05-31,2025-08-29,605.06
476,Family,Yearly,2024-10-16,2025-10-16,605.06
477,Family,3 month,2024-09-07,2024-12-06,479.24
478,Family,Monthly,2024-10-28,2024-11-27,933.41
479,Premium,3 month,2025-02-09,2025-05-10,605.06
480,Family,Monthly,2024-09-09,2024-10-09,605.06
481,Free,Yearly,2025-06-09,2026-06-09,0.0
482,Free,Yearly,2025-05-15,2026-05-15,0.0
483,Free,Monthly,2025-07-16,2025-08-15,0.0
484,Premium,3 month,2025-07-19,2025-10-17,225.93
485,Free,Monthly,2024-12-03,2025-01-02,0.0
486,Premium,Monthly,2025-07-26,2025-08-25,605.06
487,Premium,3 month,2025-02-04,2025-05-05,605.06
488,Premium,Monthly,2024-10-19,2024-11-18,605.06
489,Free,Monthly,2024-09-08,2024-10-08,0.0
490,Premium,Monthly,2025-07-01,2025-07-31,605.06
491,Premium,3 month,2025-07-19,2025-10-17,605.06
492,Family,Monthly,2025-02-25,2025-03-27,223.33
493,Premium,Yearly,2025-04-28,2026-04-28,605.06
494,Free,3 month,2025-01-20,2025-04-20,0.0
495,Family,3 month,2024-08-31,2024-11-29,605.06
